"filename", "language", "Python", "Markdown", "pip requirements", "JSON", "CSV", "comment", "blank", "total"
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\.VSCodeCounter\2023-03-02_12-38-37\details.md", "Markdown", 0, 22, 0, 0, 0, 0, 6, 28
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\.VSCodeCounter\2023-03-02_12-38-37\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 0, 6, 15
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\.VSCodeCounter\2023-03-02_12-38-37\diff.csv", "CSV", 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\.VSCodeCounter\2023-03-02_12-38-37\diff.md", "Markdown", 0, 12, 0, 0, 0, 0, 7, 19
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\.VSCodeCounter\2023-03-02_12-38-37\results.csv", "CSV", 0, 0, 0, 0, 15, 0, 0, 15
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\.VSCodeCounter\2023-03-02_12-38-37\results.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\.VSCodeCounter\2023-03-02_12-38-37\results.md", "Markdown", 0, 15, 0, 0, 0, 0, 7, 22
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\add_masks_before_adding_stickers.py", "Python", 30, 0, 0, 0, 0, 3, 11, 44
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\add_to_pc.py", "Python", 186, 0, 0, 0, 0, 64, 95, 345
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\annotations.json", "JSON", 0, 0, 0, 492937, 0, 0, 0, 492937
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\annotations_test.json", "JSON", 0, 0, 0, 3694, 0, 0, 0, 3694
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\annotations_test_data.json", "JSON", 0, 0, 0, 9414, 0, 0, 0, 9414
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\annotations_top_open.json", "JSON", 0, 0, 0, 9414, 0, 0, 0, 9414
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\check_bboxes.py", "Python", 23, 0, 0, 0, 0, 7, 15, 45
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\clear_folders.py", "Python", 15, 0, 0, 0, 0, 0, 6, 21
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\convert_to_jpg.py", "Python", 17, 0, 0, 0, 0, 1, 7, 25
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\cut_stickers.py", "Python", 57, 0, 0, 0, 0, 44, 17, 118
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\fix_naming_and_category_in_ls_annotations.py", "Python", 38, 0, 0, 0, 0, 1, 20, 59
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\grab_images.py", "Python", 89, 0, 0, 0, 0, 21, 23, 133
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\result.json", "JSON", 0, 0, 0, 8822, 0, 0, 0, 8822
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\Sticker_laptop_code\test_data\result_test_data.json", "JSON", 0, 0, 0, 9414, 0, 0, 0, 9414
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\.VSCodeCounter\2023-03-02_12-01-19\details.md", "Markdown", 0, 35, 0, 0, 0, 0, 6, 41
"c:\Users\emilb\OneDrive\Skrivebord\Master-Thesis\The Master Code\.VSCodeCounter\2023-03-02_12-01-19\diff-details.md", "Markdown", 0, 9, 0, 0, 0, 0, 6, 15
